conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTURBANCE_EFFECT_TYPE:1,Access Restriction,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:2,Alteration of Terrain,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:3,Artefact Displacement,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:4,Buried ,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:5,Burning,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:6,Chemical Leaching,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:7,Collapse/Structural Damage,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:8,Compacting,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:9,Covered,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:10,Earth Displacement,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:11,Erosion,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:12,Loss of Archaeological Material,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:13,Relocation of Archaeological Features,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:14,Water Damage,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
DISTURBANCE_EFFECT_TYPE:15,Unknown,,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
