¥éËconceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:1,Unknown,Unknown,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:2,Adjoining,Adjoining,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:3,Concentric,Concentric,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:4,Clustered,Clustered,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:5,Dispersed,Dispersed,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:6,Discrete,Discrete,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:7,Isolated,Isolated,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:8,Linear,Linear,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:9,Nucleated,Nucleated,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:10,Parallel,Parallel,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:11,Perpendicular,Perpendicular,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:12,Overlapping,Overlapping,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE:13,Rectilinear,Rectilinear,NEW_FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
